"Names","BreweryType","Address","lon","lat"
"1781 Brewing Company","Micro","11109 Plank Rd., Spotsylvania, VA 22553-4258",-77.7188554,38.3244935
"3 Stars Brewing Co","Micro","6400 Chillum Pl NW Ste B, Washington, DC 20012-2111",-77.012626,38.967491
"Adroit Theory Brewing Company","Micro","404 Browning Ct Unit C, Purcellville, VA 20132-6171",-77.7201879,39.143902
"Adventure Brewing Co","Micro","33 Perchwood Dr Ste 101, Fredericksburg, VA 22405-4552",-77.440554,38.384518
"Aslin Beer Company","Micro","257 Sunset Park Drive, Herndon, VA 20170-5220",-77.374976,38.95637
"Atlas Brew Works","Micro","2052 W Virginia Ave NE Ste 102, Washington, DC 20002-1832",-76.9814067,38.9148406
"BadWolf Brewing Company","Micro","9776 Center St, Manassas, VA 20110-4128",-77.4899282,38.7535516
"BadWolf Brewing Company","Micro","8420 Kao Circle, Manassas, VA 20110-1728",-77.4493999,38.7617445
"Barley and Hops Grill & Microbrewery","Brewpub","5473 Urbana Pike, Frederick, MD 21704-7275",-77.3995756,39.3820473
"Barnhouse Brewery","Micro","43271 Spinks Ferry Rd., Leesburg, VA 20176-5629",-77.4967099,39.204473
"Battlefield Brewing Co","Brewpub","4187 Plank Rd, Fredericksburg, VA 22407-4896",-77.5359234,38.2902319
"Baying Hound Aleworks","Micro","1108 Taft St, Rockville, MD 20850-1310",-77.1354938,39.094018
"Belly Love Brewing Company","Brewpub","725 E Main St., Purcellville, VA 20132-3178",-77.7038151,39.1377446
"Beltway Brewing Company","Micro","22620 Davis Dr Ste 110, Sterling, VA 20164-4470",-77.4173938,38.9922329
"Blue and Gray Brewing Co","Brewpub","3321 Dill Smith Dr Bowman Center, Fredericksburg, VA 22408-7319",-77.4605399,38.3031837
"Bluejacket","Brewpub","300 Tingey St SE, Washington, DC 20003-4600",-77.001023,38.875171
"Brewer's Alley Restaurant and Brewery","Brewpub","124 N Market St, Frederick, MD 21701-5422",-77.4104474,39.4160638
"Brewer's Alley Restaurant and Brewery","Micro","1781 N Market St, Frederick, MD 21701-4305",-77.3991947,39.440315
"Caboose Brewing Co.","Micro","520 Mill St NE, Vienna, VA 22180-4526",-77.2705793,38.9077323
"Calvert Brewing Co","Micro","15850 Commerce Ct, Upper Marlboro, MD 20774-7437",-76.7309664,38.8863763
"Capitol City Brewing Co - Arlington","Micro","4001 Campbell Ave, Arlington, VA 22206-3425",-77.088264,38.841238
"Corcoran Brewing","Micro","205 Hirst Rd Ste 105, Purcellville, VA 20132-6199",-77.7128791,39.1434835
"District Chophouse & Brewery","Brewpub","509 7th St NW, Washington, DC 20004-1600",-77.0215634,38.8965164
"Rock Bottom","Brewpub","4238 Wilson Blvd Ste 1256, Arlington, VA 22203-4142",-77.1107695,38.8788489
"Rock Bottom","Brewpub","7900 Norfolk Ave, Bethesda, MD 20814-2502",-77.0976627,38.9888493
"Gordon Biersch","Brewpub","200 E Middle Ln Unit A, Rockville, MD 20850-2206",-77.1502332,39.0853222
"Gordon Biersch","Brewpub","7861 L. Chain Bridge Rd., Mc Lean, VA 22102-4515",-77.199301,38.9275202
"Gordon Biersch","Brewpub","900 F St NW, Washington, DC 20004-1404",-77.0243744,38.8971064
"Gordon Biersch","Brewpub","100 M St SE, Washington, DC 20003-3519",-77.0053736,38.8767926
"Crooked Run Brewing","Micro","205 Harrison St SE, Leesburg, VA 20175-3702",-77.5631066,39.1124213
"DC Brau Brewing","Micro","3178-B Bladensburg Rd NE, Washington, DC 20018-2204",-76.9601673,38.9296431
"Denizens Brewing Company","Brewpub","1115 E West Hwy, Silver Spring, MD 20910-4852",-77.0273694,38.9886756
"Dirt Farm Brewing","Micro","18701 Foggy Bottom Road, Bluemont, VA 20135-1858",-77.8319099,39.09961
"Far Gohn Brewing","Micro","301 S East St, Culpeper, VA 22701-3105",-77.9950442,38.4716256
"Flying Dog Brewery","Regional","4607 Wedgewood Blvd, Frederick, MD 21703-7120",-77.426454,39.362696
"Forge Brew Works","Micro","8532 Terminal Rd Ste M, Lorton, VA 22079-1428",-77.1960069,38.7274532
"Franklins General Store & Brewery","Brewpub","5121 Baltimore Ave (US Route 1), Hyattsville, MD 20781-2042",-76.9455301,38.9559442
"Granite City Food (Corp)","Brewpub","200 American Wy, Oxon Hill, MD 20745",-77.0145878,38.7841102
"Sweetwater Tavern","Brewpub","14250 Sweetwater Ln, Centreville, VA 20121-5336",-77.4391592,38.8292361
"Sweetwater Tavern","Brewpub","3066 Gate House Plz, Falls Church, VA 22042-1028",-77.2284443,38.8665685
"Sweetwater Tavern","Brewpub","45980 Waterview Plz, Sterling, VA 20166-6556",-77.4098659,39.0335209
"Greenspring Brewing Company","Micro","2309 Greespring Ct., Chesapeake Beach, MD 20732-4664",-76.553326,38.689243
"Growlers Brewpub","Brewpub","227 E Diamond Ave, Gaithersburg, MD 20877-3015",-77.193618,39.141983
"Growling Bear Brewing Company","Brewpub","14051 Crown Ct., Woodbridge, VA 22193",-80.115777,37.2913209
"Hellbender Brewing Company","Micro","5788 2nd St NE, Washington, DC 20011",-77.0051746,38.9600338
"Heritage Brewing Co","Micro","9436 Center Point Ln, Manassas, VA 20110-1810",-77.4895437,38.752225
"Hopkins Ordinary Ale Works","Micro","47 Main Street, Sperryville, VA 22740-2170",-78.2269318,38.6577448
"Hops Grillhouse and Brewery","Brewpub","3625 Jefferson Davis Hwy, Alexandria, VA 22305-3133",-77.0511567,38.8375437
"Lost Rhino Brewing Co","Micro","21730 Red Rum Dr Ste 142-152, Ashburn, VA 20147-5866",-77.4755682,39.0161292
"Loudoun Brewing Co","Micro","310 East Market Street, Leesburg, VA 20176-4101",-77.5588786,39.1123396
"Mad Fox Brewing Co","Brewpub","444 W Broad St Ste I, Falls Church, VA 22046-3362",-77.1766162,38.886658
"Mad Horse Brewpub","Brewpub","34 E Broad Way, Lovettsville, VA 20180-8617",-77.6359232,39.2716957
"Mad Science Brewing Company","Micro","1619 Buckeystown Pike, Adamstown, MD 21710-8714",-77.4634411,39.2780438
"Maltese Brewing Company","Micro","11047 Pierson Dr. Unit B, Fredericksburg, VA 22408",-77.4366149,38.2607732
"Mud Hound Brewing Co / MacDowell Brew Kitchen","Brewpub","202B Harrison St SE, Leesburg, VA 20175-3701",-77.5624333,39.1125277
"Mully's Brewery","Micro","141 Schooner Ln Ste 15, Prince Frederick, MD 20678-3482",-76.647938,38.510411
"Ocelot Brewing","Micro","23600 Overland Dr Ste 180, Sterling, VA 20166-4441",-77.4992517,38.9629988
"Old 690 Brewing Co","Micro","15670 Ashbury Church Rd, Purcellville, VA 20132",-77.72646,39.183927
"Old Bust Head Brewing Co.","Micro","7134 Lineweaver Rd, Warrenton, VA 20187-3949",-77.6755087,38.7439089
"Old Ox Brewery LLC","Micro","44652 Guilford Dr Ste 114, Ashburn, VA 20147-6006",-77.4553148,39.0238995
