,Names,Streets,Towns,TownsPlanning,Type,Type2
0,(405) Brewing Co,1716 Topeka St ,"Norman, OK 73069 | Map",1716 Topeka St ,Phone: (405) 816-0490,Type: Micro
1,(512) Brewing Co,407 Radam Ln Ste F200 ,"Austin, TX 78745-1197 | Map",407 Radam Ln Ste F200 ,Type: Micro,www.512brewing.com
2,10 Barrel Brewing Co,62970 18th St ,"Bend, OR 97701-9847 | Map",62970 18th St ,Phone: (541) 585-1007,Type: Large
3,10 Barrel Brewing Co,830 W Bannock St ,"Boise, ID 83702-5857 | Map",830 W Bannock St ,Phone: (541) 678-5228,Type: Large
4,10 Barrel Brewing Co,1411 NW Flanders St ,"Portland, OR 97209-2620 | Map",1411 NW Flanders St ,Phone: (541) 585-1007,Type: Large
5,101 Brewery,294793 US Hwy 101 ,"Quilcene, WA 98376 | Map",294793 US Hwy 101 ,Phone: (360) 765-6485,Type: Brewpub
6,101 North Brewing Company,1304 Scott St Ste D ,"Petaluma, CA 94954-7100 | Map",1304 Scott St Ste D ,Phone: (707) 778-8384,Type: Micro
7,105 West Brewing Co, ,"Castle Rock, CO 80109-1585", ,Type: Planning,11 Below Brewing Company
8,11 Below Brewing Company,6820 Bourgeois Rd ,"Houston, TX 77066-3107 | Map",6820 Bourgeois Rd ,Phone: (281) 444-2337,Type: Micro
9,1188 Brewing Co,141 E Main St ,"John Day, OR 97845-1210 | Map",141 E Main St ,Phone: (541) 575-1188,Type: Brewpub
10,12 Bravo, ,"Sacramento, CA ", ,Type: Planning,12 Gates Brewing Company
11,12 Gates Brewing Company, ,"Buffalo, NY 14221-7804", ,Type: Planning,www.12gatesbrewing.com
12,12 String Brewing Co,11616 E Montgomery Dr Ste 26 ,"Spokane, WA 99206-6608 | Map",11616 E Montgomery Dr Ste 26 ,Phone: (509) 990-8622,Type: Micro
13,127 Brewing,3090 Shirley Dr ,"Jackson, MI 49201-7010 | Map",3090 Shirley Dr ,Phone: (517) 258-1346,Type: Micro
14,12Degree Brewing,820 Main St ,"Louisville, CO 80027-1865 | Map",820 Main St ,Phone: (720) 638-1623,Type: Brewpub
15,13 Virtues Brewing Co,6410 SE Milwaukie Ave ,"Portland, OR 97202-5518 | Map",6410 SE Milwaukie Ave ,Phone: (503) 239-3831,Type: Brewpub
16,14th Star Brewing,"133 North Main Street, Suite 7 ","Saint Albans, VT 05478-1735 | Map","133 North Main Street, Suite 7 ",Phone: (802) 528-5988,Type: Micro
17,16 Mile Brewing Co,413 S Bedford St ,"Georgetown, DE 19947-1849 | Map",413 S Bedford St ,Phone: (302) 253-8816,Type: Micro
18,1781 Brewing Company,11109 Plank Rd. ,"Spotsylvania, VA 22553-4258 | Map",11109 Plank Rd. ,Phone: (540) 841-2598,Type: Micro
