City,Rating,Resturant,,
Chicago,3.97826086957,24,,
New York,3.90476190476,22,,
Minneapolis,4.02631578947,19,,
San Francisco,3.90625,18,,
Portland,4.09375,16,,
Baltimore,3.9,15,,
Kansas City,3.92307692308,14,,
Las Vegas,4.11538461538,13,,
Los Angeles,3.83333333333,12,,
Phoenix,3.91666666667,12,,
Denver,4,11,,
Memphis,4.18181818182,11,,
Philadelphia,3.81818181818,11,,
San Antonio,3.54545454545,11,,
Albuquerque,3.9,10,,
Austin,3.8,10,,
Nashville,3.95,10,,
New Orleans,4,10,,
Boston,4.25,8,,
Charlotte,3.71428571429,8,,
Dallas,3.9375,8,,
Miami,3.875,8,,
San Diego,3.64285714286,7,,
Seattle,3.85714285714,7,,
Virginia Beach,3.64285714286,7,,
Long Beach,3.75,6,,
Omaha,3.3,6,,
Sacramento,3.83333333333,6,,
Cleveland,3.8,5,,
Houston,4.1,5,,
Indianapolis,3.875,5,,
Oklahoma City,4.2,5,,
Atlanta,3.5,4,,
Washington,3.625,4,,
