"","Ccity","percapita"
"1","Washington ",5.31
"17","Portland ",3.87
"6","Baltimore ",3.53
"32","San Francisco",3.28
"18","Philadelphia ",3.08
"15","Tucson ",2.84
"27","Seattle ",2.54
"34","Denver ",2.26
"28","Milwaukee ",2.17
"3","Chicago ",2.06
"5","Louisville ",1.96
"4","Indianapolis ",1.89
"11","New York",1.86
"33","San Jose",1.77
"13","Columbus ",1.67
"22","El Paso",1.62
"31","San Diego",1.59
"7","Boston ",1.52
"29","Fresno ",1.36
"8","Detroit ",1.32
"10","Albuquerque ",1.26
"25","Austin ",1.21
"9","Las Vegas",1.14
"20","Nashville ",1.09
"19","Memphis ",1.07
"26","San Antonio",1.04
"12","Charlotte ",0.99
"23","Fort Worth",0.98
"30","Los Angeles",0.97
"2","Jacksonville ",0.94
"16","Oklahoma ",0.64
"24","Houston ",0.4
"14","Phoenix ",0.39
"21","Dallas ",0.23
