,LICENSE..,STATUS,APPLICANT,TRADE.NAME,ADDRESS,YearOpen,SMD,CLASS,DESCRIPTION,street
112,"ABRA‐
009239",Active,"The City Limits, Inc.","1789 Restaurant Tombs F 
Scotts","1224 36TH ST, NW, 
WASHINGTON, DC 20007",2006,"SMD 
2E08",C,Restaurant,1224 36TH ST NW
820,"ABRA‐
095362",Active,"7TH HILL RESTAURANT 
INC",7H  PIZZA,"4885 MACARTHUR BLVD, NW, 
WASHINGTON, DC 20007",2015,"SMD 
3D05",C,Restaurant,4885 MACARTHUR BLVD NW
199,"ABRA‐
025153",Active,Al‐Hamd Incorporated,Aatish On The Hill,"609 PENNSYLVANIA AVE, SE, 
WASHINGTON, DC 20003",2006,"SMD 
6B02",C,Restaurant,609 PENNSYLVANIA AVE SE
241,"ABRA‐
060278",Active,Khyber Pass Corp,Afghan Grill,"2309 CALVERT ST, NW, 
WASHINGTON, DC 20008",2006,"SMD 
3C01",C,Restaurant,2309 CALVERT ST NW
840,"ABRA‐
095964",Active,"AFTER  PEACOCK ROOM 
INC.",After Peacock Room,"2622 P ST, NW, WASHINGTON, 
DC 20007",C,"SMD 
2E06",C,Restaurant,2622 P ST NW
390,"ABRA‐
075870",Active,"Al Tiramisu, Inc.",Al Tiramisu,"2014 P ST, NW, WASHINGTON, 
DC 20036",2006,"SMD 
2B02",C,Restaurant,2014 P ST NW
751,"ABRA‐
092512",Active,Eye Street Dining Inc,Alba Osteria,"425 I ST, NW, WASHINGTON, DC 
20001",2013,"SMD 
6E05",C,Restaurant,425 I ST NW
231,"ABRA‐
060134",Active,"Alero, Inc.",Alero Restaurant‐1,"1724 CONNECTICUT AVE, NW, 
UNIT A, WASHINGTON, DC 
20009",2006,"SMD 
2B01",C,Restaurant,1724 CONNECTICUT AVE NW
1134,"ABRA‐
088179",Active,"All Souls, LLC",All Souls,"725 T ST, NW, WASHINGTON, DC 
20001",2013,"SMD 
1B01",C,Tavern,725 T ST NW
1372,"ABRA‐
094922",Active,"AMERICAN CITY DINER, 
INC.",AMERICAN CITY DINER,"5532 CONNECTICUT AVE, NW, 
WASHINGTON, DC 20015",2006,"SMD 
3G06",D,Restaurant,5532 CONNECTICUT AVE NW
1092,"ABRA‐
084577",Active,"H & H, LLC",American Ice Company,"917 V ST, NW, WASHINGTON, DC
20001",2010,"SMD 
1B02",C,Tavern,917 V ST NW
1363,"ABRA‐
093449",Active,District Falafel I LLC,Amsterdam Falafelshop,"1830 14TH ST, NW, 
WASHINGTON, DC 20009",2014,"SMD 
2B09",D,Restaurant,1830 14TH ST NW
1228,"ABRA‐
095111",Active,"Angelika Film Center 
Union Market, LLC",Angelika Pop‐Up,"550 PENN ST, NE, WASHINGTON,
DC 20002",2014,"SMD 
5D01",C,Tavern,550 PENN ST NE
105,"ABRA‐
007930",Active,"Steaks Unlimited, Inc.","Annie's Paramount Steak 
House","1609 17TH ST, NW, 
WASHINGTON, DC 20009",2006,"SMD 
2B04",C,Restaurant,1609 17TH ST NW
997,"ABRA‐
060477",Active,AQUA NYA LLC.,Aqua Restaurant,"1818 NEW YORK AVE, NE A, 
WASHINGTON, DC 20002",2006,"SMD 
5C04",C,Tavern,1818 NEW YORK AVE NE A
22,"ABRA‐
000931",Active,Harco Inc.,"Archibald's/Fast Eddies 
Billiards Cafe","1520 K ST, NW, WASHINGTON, 
DC 20005",2006,"SMD 
2B05",C,Nightclub,1520 K ST NW
206,"ABRA‐
025620",Active,"Ardeo, LLC",Ardeo/Bardeo,"3309‐3311 CONNECTICUT AVE, 
NW, WASHINGTON, DC 20008",2006,"SMD 
3C04",C,Restaurant,3309‐3311 CONNECTICUT AVE NW
378,"ABRA‐
075464",Active,"AY & PS, Inc",Armand's Chicago Pizzeria,"226 MASSACHUSETTS AVE, NE, 
WASHINGTON, DC 20002",2006,"SMD 
6C02",C,Restaurant,226 MASSACHUSETTS AVE NE
93,"ABRA‐
001847",Active,"Lamaree, Inc.",Aroma Indian Restaurant,"1919 I ST, NW, WASHINGTON, 
DC 20006",c,"SMD 
2B06",C,Restaurant,1919 I ST NW
170,"ABRA‐
021599",Active,"D B Restaurant, Inc.",Arucola,"5534 CONNECTICUT AVE, NW, 
WASHINGTON, DC 20015",2007,"SMD 
3G06",C,Restaurant,5534 CONNECTICUT AVE NW
399,"ABRA‐
076177",Active,"Centerpoint Nine, LLC",Asia Nine Bar and Lounge,"915 E ST, NW, WASHINGTON, DC 
20004",2008,"SMD 
2C01",C,Restaurant,915 E ST NW
411,"ABRA‐
076750",Active,"LPK, Inc.",Asian Spice,"717‐719 H ST, NW, 
WASHINGTON, DC 20001",2008,"SMD 
2C01",C,Restaurant,717‐719 H ST NW
1386,"ABRA‐
098287",Active,"Ehio‐American Flavors 
LLC",Askale Cafe,"3629 12TH ST, NE, 
WASHINGTON, DC 20017",2013,"SMD 
5B02",D,Restaurant,3629 12TH ST NE
967,"ABRA‐
019007",Active,"Atomic Billards 
Corporation",Atomic Billiards,"3427 CONNECTICUT AVE, NW, 
WASHINGTON, DC 20008",2006,"SMD 
3C04",C,Tavern,3427 CONNECTICUT AVE NW
396,"ABRA‐
076102",Active,"Austin Grill, LLC",Austin Grill,"750 E ST, NW, WASHINGTON, DC 
20004",C,"SMD 
2C03",C,Restaurant,750 E ST NW
1113,"ABRA‐
086545",Active,"2500 Pennsylvania 
Avenue Investors, LLC",Avenue Suites/A Bar,"2500 PENNSYLVANIA AVE, NW, 
WASHINGTON, DC 20037",2012,"SMD 
2A03",C,Tavern,2500 PENNSYLVANIA AVE NW
162,"ABRA‐
020102",Active,Makamboo Corp.,Awash,"2218‐2220 18TH ST, NW, 
WASHINGTON, DC 20009",2007,"SMD 
1C03",C,Restaurant,2218‐2220 18TH ST NW
664,"ABRA‐
089823",Active,"AXUMAWIT 
INCORORATION INC.",Axum Restaurant,"1934 9TH ST, NW, 
WASHINGTON, DC 20001",C,"SMD 
1B02",C,Restaurant,1934 9TH ST NW
501,"ABRA‐
083121",Active,"The New Brookland Cafe, 
LLC",B Cafe/Brookland Cafe,"3740 12TH ST, NE, 
WASHINGTON, DC 20017",c,"SMD 
5B05",C,Restaurant,3740 12TH ST NE
651,"ABRA‐
089499",Active,"Belga Group, LLC",B Too,"1324 14TH ST, NW, 
WASHINGTON, DC 20005",2013,"SMD 
2F03",C,Restaurant,1324 14TH ST NW
703,"ABRA‐
090863",Active,"Baby Wale, LLC",Baby Wale,"1124 9TH ST, NW, 
WASHINGTON, DC 20001",2013,"SMD 
2F06",C,Restaurant,1124 9TH ST NW
894,"ABRA‐
097699",Active,"Bacaro 8 Street, LLC",Bacaro,"1420 8TH ST, NW, 
WASHINGTON, DC 20001",2014,"SMD 
6E01",C,Restaurant,1420 8TH ST NW
956,"ABRA‐
011277",Active,Backdoor Inc.,"Bachelor's Mill/Back Door 
Pub","1104 8TH ST, SE, WASHINGTON, 
DC 20003",2006,"SMD 
6B04",C,Tavern,1104 8TH ST SE
823,"ABRA‐
095459",Active,CHIKITING LLC,BAD SAINT,"3226 11TH ST, NW, 
WASHINGTON, DC",2015,"SMD 
1A06",C,Restaurant,3226 11TH ST NW
377,"ABRA‐
075442",Active,"PRG, Inc.",Bambu,"5101 MACARTHUR BLVD, NW, 
WASHINGTON, DC 20016",2006,"SMD 
3D05",C,Restaurant,5101 MACARTHUR BLVD NW
213,"ABRA‐
026006",Active,"Bivco, Inc.",Banana Cafe And Piano Bar,"500 8TH ST, SE, WASHINGTON, 
DC 20003",2006,"SMD 
6B04",C,Restaurant,500 8TH ST SE
200,"ABRA‐
025217",Active,"Best Hunan, Inc.",Banana Leaves,"2020 FLORIDA AVE, NW, UNIT B, 
WASHINGTON, DC 20009",2007,"SMD 
2B01",C,Restaurant,2020 FLORIDA AVE NW
384,"ABRA‐
075631",Active,Pure Hospitality LLC,Bandolero,"3241 M ST, NW, WASHINGTON, 
DC 20007",c,"SMD 
2E05",C,Restaurant,3241 M ST NW
308,"ABRA‐
070858",Active,"Chu Chien Fa Restaurant, 
Inc.",Bangkok One/China Cafe,"1411 K ST, NW, WASHINGTON, 
DC 20005",c,"SMD 
2F05",C,Restaurant,1411 K ST NW
1076,"ABRA‐
082350",Active,"TAG Ventures, Inc.",Bar 7,"1015 1/2 7TH ST, NW, 
WASHINGTON, DC 20001",2010,"SMD 
6E04",C,Tavern,1015 1/2 7TH ST NW
890,"ABRA‐
097652",Active,"Big Night Productions, LLC",Bar Civita,"2605‐2607 24TH ST, NW, 
WASHINGTON, DC 20008",2015,"SMD 
3C02",C,Restaurant,2605‐2607 24TH ST NW
886,"ABRA‐
097610",Active,"BACELONA  CATHEDRAL   
LLC",Barcelona,"3336 WISCONSIN AVE, NW, 
WASHINGTON, DC",2013,"SMD 
3C07",C,Restaurant,3336 WISCONSIN AVE NW
661,"ABRA‐
089785",Active,"Barcelona 14th Street, 
LLC",Barcelona  Wine Bar,"1622 14TH ST, NW, 
WASHINGTON, DC 20009",2015,"SMD 
2F01",C,Restaurant,1622 14TH ST NW
1157,"ABRA‐
090430",Active,BARDO LLC,Bardo,"1200‐1216 BLADENSBURG RD, 
NE, WASHINGTON, DC 20002",2013,"SMD 
5D02",C,Tavern,1200‐1216 BLADENSBURG RD NE
1016,"ABRA‐
072633",Active,"18th Amendment, LLC",Barrel,"613 PENNSYLVANIA AVE, SE, 
WASHINGTON, DC 20003",2014,"SMD 
6B02",C,Tavern,613 PENNSYLVANIA AVE SE
885,"ABRA‐
097603",Active,SKY456 LLC,Basil Thai Restaurant,"1608 WISCONSIN AVE, NW, 
WASHINGTON, DC 20007",2006,"SMD 
2E02",C,Restaurant,1608 WISCONSIN AVE NW
923,"ABRA‐
099176",Active,Butter Bowl Corp,Batter Bowl Bakery,"403 H ST, NE, WASHINGTON, DC 
20002",c,"SMD 
6C04",C,Restaurant,403 H ST NE
864,"ABRA‐
096910",Active,"Bayou Bakery on the Hill 
LLC",Bayou Bakery on the Hill,"921 PENNSYLVANIA AVE, SE, 
WASHINGTON, DC 20003",2015,"SMD 
6B04",C,Restaurant,921 PENNSYLVANIA AVE SE
656,"ABRA‐
089622",Active,"Mendelsohn Hospitality 
Group",Bearnaise,"313‐315 PENNSYLVANIA AVE, SE, 
WASHINGTON, DC 20003",2013,"SMD 
6B01",C,Restaurant,313‐315 PENNSYLVANIA AVE SE
681,"ABRA‐
090308",Active,"Beau Thai Mt. Pleasant 
LLC",Beau Thai,"3162‐3164 MOUNT PLEASANT 
ST, NW, WASHINGTON, DC 
20010",2013,"SMD 
1D04",C,Restaurant,3162‐3164 MOUNT PLEASANT ST NW
654,"ABRA‐
089616",Active,"ANB 623, LLC",Beuchert's Saloon,"623 PENNSYLVANIA AVE, SE, 
WASHINGTON, DC 20003",2013,"SMD 
6B02",C,Restaurant,623 PENNSYLVANIA AVE SE
1102,"ABRA‐
086093",Active,"Walking Stick 
Management, LLC",Bier Baron Hotel & Tavern,"1523 22ND ST, NW, 
WASHINGTON, DC 20037",2011,"SMD 
2B02",C,Tavern,1523 22ND ST NW
552,"ABRA‐
085903",Active,Big Chair Cafe LLC,Big Chair Coffee & Grill,"2122 MARTIN LUTHER KING JR. 
AVE, SE, WASHINGTON, DC 
20021",2010,"SMD 
8A06",C,Restaurant,2122 MARTIN LUTHER KING JR. AVE SE
1002,"ABRA‐
070520",Active,"Billy Goat DC, Inc.",Billy Goat Tavern & Grill,"500 NEW JERSEY AVE, NW, 
WASHINGTON, DC 20001",2006,"SMD 
6C02",C,Tavern,500 NEW JERSEY AVE NW
1181,"ABRA‐
091682",Active,SST MANAGEMENT LLC,BIN‐1301,"1301 U ST, NW, WASHINGTON, 
DC 20009",2014,"SMD 
1B12",C,Tavern,1301 U ST NW
465,"ABRA‐
080839",Active,"Neighborhood Restaurant 
Group VII, LLC",Birch & Barley/Churchkey,"1337 14TH ST, NW, 
WASHINGTON, DC 20005",2009,"SMD 
2F03",C,Restaurant,1337 14TH ST NW
496,"ABRA‐
082758",Active,"Bistro Cacao, Inc.",Bistro CaCao,"320 MASSACHUSETTS AVE, NE, 
WASHINGTON, DC 20002",2009,"SMD 
6C02",C,Restaurant,320 MASSACHUSETTS AVE NE
1001,"ABRA‐
060738",Active,"Hyppocampe, Inc.",Bistro Doc,"518 10TH ST, NW, 
WASHINGTON, DC 20004",2006,"SMD 
2C01",C,Tavern,518 10TH ST NW
407,"ABRA‐
076495",Active,"Yami, LLC",Bistro Du Coin,"1738 CONNECTICUT AVE, NW, 
WASHINGTON, DC 20009",2006,"SMD 
2B01",C,Restaurant,1738 CONNECTICUT AVE NW
88,"ABRA‐
001428",Active,"Bistro Francais, Ltd",Bistro Francais,"3124 M ST, NW, WASHINGTON, 
DC 20007",c,"SMD 
2E05",C,Restaurant,3124 M ST NW
181,"ABRA‐
023539",Active,"Vangho, Corp.",Bistro Italia,"320 D ST, NE, WASHINGTON, DC 
20002",2006,"SMD 
6C02",C,Restaurant,320 D ST NE
174,"ABRA‐
021918",Active,"Cec, Inc.",Bistro Lepic,"1736 WISCONSIN AVE, NW, 
WASHINGTON, DC 20007",2006,"SMD 
2E02",C,Restaurant,1736 WISCONSIN AVE NW
834,"ABRA‐
095828",Active,THABBG  INC,BISTROQUET,"5100 MACARTHUR BLVD, NW, 
WASHINGTON, DC 20016",2014,"SMD 
3D05",C,Restaurant,5100 MACARTHUR BLVD NW
874,"ABRA‐
097189",Active,BIP Penn Ave. LLC,Black Iron Pizza,"1299 PENNSYLVANIA AVE, NW, 
WASHINGTON, DC 20004",c,"SMD 
2C01",C,Restaurant,1299 PENNSYLVANIA AVE NW
1071,"ABRA‐
082034",Active,"The Black Rooster, LLC",Black Rooster Pub,"1919 L ST, NW, WASHINGTON, 
DC 20036",2007,"SMD 
2B06",C,Tavern,1919 L ST NW
