"","street","LICENSE..","STATUS","APPLICANT","TRADE.NAME","ADDRESS","SMD","CLASS","DESCRIPTION","Selection.DATE","Month.Sort","FY.Sort","Applicant","Owner.Name"
"3","1001 H ST NE","ABRA‐
093103","Active","1001 H ST, LLC","Ben's Chili Bowl / Ben's 
Upstairs/Ten 01","1001 H ST, NE, WASHINGTON, 
DC 20002","SMD 
6A01","C","Restaurant","SEP 2015",201509,"FY2015","","ALI BOYZ, LLC"
"4","1001 H ST NE","ABRA‐
093103","Active","1001 H ST, LLC","Ben's Chili Bowl / Ben's 
Upstairs/Ten 01","1001 H ST, NE, WASHINGTON, 
DC 20002","SMD 
6A01","C","Restaurant","SEP 2015",201509,"FY2015","","ALI BOYZ LLC"
"5","1001 H ST NE","ABRA‐
093103","Active","1001 H ST, LLC","Ben's Chili Bowl / Ben's 
Upstairs/Ten 01","1001 H ST, NE, WASHINGTON, 
DC 20002","SMD 
6A01","C","Restaurant","JUN 2015",201506,"FY2015","","ALI BOYZ LLC"
"6","1001 PENNSYLVANIA AVE NW","ABRA‐
075607","Active","Central Resto, LLC","Central‐Michel Richard","1001 PENNSYLVANIA AVE, NW, 
WASHINGTON, DC 20004","SMD 
2C01","C","Restaurant","SEP 2015",201509,"FY2015","TADICH GRILL OF  WASHINGTON DC LLC","TEACHERS INSURANCE & ANNUNITY ASSOCIATION OF AMERICA"
"7","1001 PENNSYLVANIA AVE NW","ABRA‐
075607","Active","Central Resto, LLC","Central‐Michel Richard","1001 PENNSYLVANIA AVE, NW, 
WASHINGTON, DC 20004","SMD 
2C01","C","Restaurant","SEP 2010",201009,"FY2010","CAPITOL C RESTAURANTS, LLC","TEACHERS INSURANCE & ANNUNITY ASSOCIATION OF AMERICA"
"8","1001 PENNSYLVANIA AVE NW","ABRA‐
075607","Active","Central Resto, LLC","Central‐Michel Richard","1001 PENNSYLVANIA AVE, NW, 
WASHINGTON, DC 20004","SMD 
2C01","C","Restaurant","DEC 2006",200612,"FY2006","","TEACHERS INSURANCE"
"9","1001 PENNSYLVANIA AVE NW","ABRA‐
075607","Active","Central Resto, LLC","Central‐Michel Richard","1001 PENNSYLVANIA AVE, NW, 
WASHINGTON, DC 20004","SMD 
2C01","C","Restaurant","MAY 2004",200405,"FY2004","","TEACHERS INSURANCE"
"10","1005 E ST NW","ABRA‐
094712","Active","Ima Pizza Store 9, LLC","& Pizza","1005 E ST, NW, WASHINGTON, 
DC 20004","SMD 
2C01","C","Restaurant","JUN 2014",201406,"FY2014","","LINCOLN CIRCLE ASSOCIATES LLC"
"11","1005 E ST NW","ABRA‐
094712","Active","Ima Pizza Store 9, LLC","& Pizza","1005 E ST, NW, WASHINGTON, 
DC 20004","SMD 
2C01","C","Restaurant","JUN 2014",201406,"FY2014","","LINCOLN CIRCLE ASSOCIATES LLC"
"12","101 CONSTITUTION AVE NW","ABRA‐
060654","Active","Charlie Palmer steak, DC, 
LLC","Charlie Palmer","101 CONSTITUTION AVE, NW, 
WASHINGTON, DC 20001","SMD 
6C02","C","Restaurant","JUL 2002",200207,"FY2002","","LINCOLN PROPERTY CO."
"13","101 CONSTITUTION AVE NW","ABRA‐
060654","Active","Charlie Palmer steak, DC, 
LLC","Charlie Palmer","101 CONSTITUTION AVE, NW, 
WASHINGTON, DC 20001","SMD 
6C02","C","Restaurant","AUG 2007",200708,"FY2007","","UNITED BROTHERHOOD OF CARPENTERS"
"14","101 CONSTITUTION AVE NW","ABRA‐
060654","Active","Charlie Palmer steak, DC, 
LLC","Charlie Palmer","101 CONSTITUTION AVE, NW, 
WASHINGTON, DC 20001","SMD 
6C02","C","Restaurant","APR 2003",200304,"FY2003","","NELSON MULLENS"
"15","101 CONSTITUTION AVE NW","ABRA‐
060654","Active","Charlie Palmer steak, DC, 
LLC","Charlie Palmer","101 CONSTITUTION AVE, NW, 
WASHINGTON, DC 20001","SMD 
6C02","C","Restaurant","MAY 2007",200705,"FY2007","","KSH COMPANY"
"18","1015 H ST NE","ABRA‐
084689","Active","Modern Dining Concepts, 
LLC","The Atlas Room","1015 H ST, NE, WASHINGTON, 
DC 20002","SMD 
6A01","C","Tavern","SEP 2007",200709,"FY2007","","WEST"
"19","1015 H ST NE","ABRA‐
084689","Active","Modern Dining Concepts, 
LLC","The Atlas Room","1015 H ST, NE, WASHINGTON, 
DC 20002","SMD 
6A01","C","Tavern","OCT 2010",201010,"FY2010","MODERN DINING CONCEPTS","RON ALLISON / JORGE VELASQUEZ"
"20","1016 H ST NE","ABRA‐
083356","Active","The Hamilton Restaurant 
Group, Inc.","Liberty Tree","1016 H ST, NE, WASHINGTON, 
DC 20002","SMD 
6A01","C","Tavern","JUN 2008",200806,"FY2008","","H STREET EATERIES, LLC."
"21","1016 H ST NE","ABRA‐
083356","Active","The Hamilton Restaurant 
Group, Inc.","Liberty Tree","1016 H ST, NE, WASHINGTON, 
DC 20002","SMD 
6A01","C","Tavern","OCT 2009",200910,"FY2009","THE HAMILTON RESTAURANT GROUP INC.","JOHN C FORMANT"
"22","1016 H ST NE","ABRA‐
083356","Active","The Hamilton Restaurant 
Group, Inc.","Liberty Tree","1016 H ST, NE, WASHINGTON, 
DC 20002","SMD 
6A01","C","Tavern","AUG 2011",201108,"FY2011","","JOHN FORMANT"
"23","1016 H ST NE","ABRA‐
083356","Active","The Hamilton Restaurant 
Group, Inc.","Liberty Tree","1016 H ST, NE, WASHINGTON, 
DC 20002","SMD 
6A01","C","Tavern","FEB 2010",201002,"FY2010","","JOHN C FORMANT"
"24","1018 VERMONT AVE NW","ABRA‐
088178","Active","Ann Goal LLC","DC Thai Restaurant and 
Bakery","1018 VERMONT AVE, NW, 
WASHINGTON, DC 20005","SMD 
2F05","C","Restaurant","FEB 2011",201102,"FY2011","","VERMONT AVENUE LLC"
"25","1018 VERMONT AVE NW","ABRA‐
088178","Active","Ann Goal LLC","DC Thai Restaurant and 
Bakery","1018 VERMONT AVE, NW, 
WASHINGTON, DC 20005","SMD 
2F05","C","Restaurant","OCT 2001",200110,"FY2001","","VT-AB LOC"
"26","1018 VERMONT AVE NW","ABRA‐
088178","Active","Ann Goal LLC","DC Thai Restaurant and 
Bakery","1018 VERMONT AVE, NW, 
WASHINGTON, DC 20005","SMD 
2F05","C","Restaurant","AUG 2011",201108,"FY2011","ANN GOAL LLC","VERMONT AVENUE LLC"
"27","1018 VERMONT AVE NW","ABRA‐
088178","Active","Ann Goal LLC","DC Thai Restaurant and 
Bakery","1018 VERMONT AVE, NW, 
WASHINGTON, DC 20005","SMD 
2F05","C","Restaurant","SEP 2009",200909,"FY2009","TRIPLE INC. OF DC","HSIAO SHIH"
"28","1018 VERMONT AVE NW","ABRA‐
088178","Active","Ann Goal LLC","DC Thai Restaurant and 
Bakery","1018 VERMONT AVE, NW, 
WASHINGTON, DC 20005","SMD 
2F05","C","Restaurant","DEC 2004",200412,"FY2004","","VT-AB LOC"
"30","1025 5TH ST NW","ABRA‐
077964","Active","Busboy, Inc.","Busboys & Poets","1025 5TH ST, NW, 
WASHINGTON, DC 20001","SMD 
6E05","C","Restaurant","JUN 2010",201006,"FY2010","","EDENS & AVANT"
"31","1025 5TH ST NW","ABRA‐
077964","Active","Busboy, Inc.","Busboys & Poets","1025 5TH ST, NW, 
WASHINGTON, DC 20001","SMD 
6E05","C","Restaurant","SEP 2008",200809,"FY2008","BUSBOYS INC.","BUSBOYS, INC."
"32","1025 5TH ST NW","ABRA‐
077964","Active","Busboy, Inc.","Busboys & Poets","1025 5TH ST, NW, 
WASHINGTON, DC 20001","SMD 
6E05","C","Restaurant","AUG 2010",201008,"FY2010","BUSBOYS AND INC",""
"34","1039 31ST ST NW","ABRA‐
096103","Active","HBGT, LLC","Chez Billy Sud","1039 31ST ST, NW, 
WASHINGTON, DC 20007","SMD 
2E05","C","Restaurant","SEP 2014",201409,"FY2014","","CAUDERLIER AND ASSOCIATES INC"
"35","1039 31ST ST NW","ABRA‐
096103","Active","HBGT, LLC","Chez Billy Sud","1039 31ST ST, NW, 
WASHINGTON, DC 20007","SMD 
2E05","C","Restaurant","SEP 2014",201409,"FY2014","","CAUDERLIER AND ASSOCIATES INC"
"36","1039 33RD ST NW","ABRA‐
092986","Active","T & K Corp.","Kintaro","1039 33RD ST, NW, 
WASHINGTON, DC 20007","SMD 
2E05","C","Restaurant","APR 2013",201304,"FY2013","T & K  CORP.","MIKI YOSHIMOTO"
"37","1039 33RD ST NW","ABRA‐
092986","Active","T & K Corp.","Kintaro","1039 33RD ST, NW, 
WASHINGTON, DC 20007","SMD 
2E05","C","Restaurant","AUG 2005",200508,"FY2005","","ROSE"
"38","1039 33RD ST NW","ABRA‐
092986","Active","T & K Corp.","Kintaro","1039 33RD ST, NW, 
WASHINGTON, DC 20007","SMD 
2E05","C","Restaurant","MAY 2009",200905,"FY2009","COCOA LUXE, LLC.","MIKI YOSHIMOTO"
"42","1073 WISCONSIN AVE NW","ABRA‐
060470","Active","Chopsticks, Inc.","CHOPSTICKS/HASHI SUSHI","1073 WISCONSIN AVE, NW, 
WASHINGTON, DC 20007","SMD 
2E05","C","Restaurant","DEC 2001",200112,"FY2001","","MR. LEE"
"43","1073 WISCONSIN AVE NW","ABRA‐
060470","Active","Chopsticks, Inc.","CHOPSTICKS/HASHI SUSHI","1073 WISCONSIN AVE, NW, 
WASHINGTON, DC 20007","SMD 
2E05","C","Restaurant","DEC 2009",200912,"FY2009","CHOPSTICKS,  INC.","1073 WISCONSIN AVENUE LLC"
"44","1078 WISCONSIN AVE NW","ABRA‐
084926","Active","Paul DC‐VA‐MD Bakeries, 
LLC","Paul Bakery","1078 WISCONSIN AVE, NW, 
WASHINGTON, DC 20007","SMD 
2E05","C","Restaurant","OCT 2011",201110,"FY2011","PAUL DC - VA - MD BAKERIES, LLC.","1078 WISCONSIN AVE, LLC."
"45","1078 WISCONSIN AVE NW","ABRA‐
084926","Active","Paul DC‐VA‐MD Bakeries, 
LLC","Paul Bakery","1078 WISCONSIN AVE, NW, 
WASHINGTON, DC 20007","SMD 
2E05","C","Restaurant","JUN 2015",201506,"FY2015","","1078 WISCONSIN LLC"
"47","1090 I ST NW","ABRA‐
098740","Active","MOMOCCDC, LLC","Momofuku/MilkBar City 
Center DC","1090 I ST, NW, WASHINGTON, 
DC 20001","SMD 
2C01","C","Restaurant","OCT 2015",201510,"FY2015","","CCDC RETAIL LLC (IMPS ONLY)"
"48","1090 I ST NW","ABRA‐
098740","Active","MOMOCCDC, LLC","Momofuku/MilkBar City 
Center DC","1090 I ST, NW, WASHINGTON, 
DC 20001","SMD 
2C01","C","Restaurant","OCT 2015",201510,"FY2015","","CCDC RETAIL LLC (IMPS ONLY)"
"50","1100 13TH ST NW","ABRA‐
086770","Active","Maddy's Tap Room LLC","Maddy's Tap Room","1100 13TH ST, NW, 
WASHINGTON, DC 20005","SMD 
2F05","C","Restaurant","SEP 2014",201409,"FY2014","","1100 13TH STREET  LLC"
"51","1100 13TH ST NW","ABRA‐
086770","Active","Maddy's Tap Room LLC","Maddy's Tap Room","1100 13TH ST, NW, 
WASHINGTON, DC 20005","SMD 
2F05","C","Restaurant","SEP 2014",201409,"FY2014","","1100 13TH STREET  LLC"
"52","1100 13TH ST NW","ABRA‐
086770","Active","Maddy's Tap Room LLC","Maddy's Tap Room","1100 13TH ST, NW, 
WASHINGTON, DC 20005","SMD 
2F05","C","Restaurant","OCT 2007",200710,"FY2007","","ABP CORPORATION"
