,street,LICENSE..,STATUS,APPLICANT,TRADE.NAME,ADDRESS,SMD,CLASS,DESCRIPTION,YelpCorrect,Selection.DATE,Month.Sort,FY.Sort,Applicant,Owner.Name
5,1001 H ST NE,"ABRA‐
093103",Active,"1001 H ST, LLC","Ben's Chili Bowl / Ben's 
Upstairs/Ten 01","1001 H ST, NE, WASHINGTON, 
DC 20002","SMD 
6A01",C,Restaurant,,JUN 2015,201506,FY2015,,ALI BOYZ LLC
9,1001 PENNSYLVANIA AVE NW,"ABRA‐
075607",Active,"Central Resto, LLC",Central‐Michel Richard,"1001 PENNSYLVANIA AVE, NW, 
WASHINGTON, DC 20004","SMD 
2C01",C,Restaurant,,MAY 2004,200405,FY2004,,TEACHERS INSURANCE
10,1005 E ST NW,"ABRA‐
094712",Active,"Ima Pizza Store 9, LLC",& Pizza,"1005 E ST, NW, WASHINGTON, 
DC 20004","SMD 
2C01",C,Restaurant,,JUN 2014,201406,FY2014,,LINCOLN CIRCLE ASSOCIATES LLC
12,101 CONSTITUTION AVE NW,"ABRA‐
060654",Active,"Charlie Palmer steak, DC, 
LLC",Charlie Palmer,"101 CONSTITUTION AVE, NW, 
WASHINGTON, DC 20001","SMD 
6C02",C,Restaurant,,JUL 2002,200207,FY2002,,LINCOLN PROPERTY CO.
19,1015 H ST NE,"ABRA‐
084689",Active,"Modern Dining Concepts, 
LLC",The Atlas Room,"1015 H ST, NE, WASHINGTON, 
DC 20002","SMD 
6A01",C,Tavern,,OCT 2010,201010,FY2010,MODERN DINING CONCEPTS,RON ALLISON / JORGE VELASQUEZ
23,1016 H ST NE,"ABRA‐
083356",Active,"The Hamilton Restaurant 
Group, Inc.",Liberty Tree,"1016 H ST, NE, WASHINGTON, 
DC 20002","SMD 
6A01",C,Tavern,,FEB 2010,201002,FY2010,,JOHN C FORMANT
26,1018 VERMONT AVE NW,"ABRA‐
088178",Active,Ann Goal LLC,"DC Thai Restaurant and 
Bakery","1018 VERMONT AVE, NW, 
WASHINGTON, DC 20005","SMD 
2F05",C,Restaurant,,AUG 2011,201108,FY2011,ANN GOAL LLC,VERMONT AVENUE LLC
31,1025 5TH ST NW,"ABRA‐
077964",Active,"Busboy, Inc.",Busboys & Poets,"1025 5TH ST, NW, 
WASHINGTON, DC 20001","SMD 
6E05",C,Restaurant,,SEP 2008,200809,FY2008,BUSBOYS INC.,"BUSBOYS, INC."
35,1039 31ST ST NW,"ABRA‐
096103",Active,"HBGT, LLC",Chez Billy Sud,"1039 31ST ST, NW, 
WASHINGTON, DC 20007","SMD 
2E05",C,Restaurant,,SEP 2014,201409,FY2014,,CAUDERLIER AND ASSOCIATES INC
36,1039 33RD ST NW,"ABRA‐
092986",Active,T & K Corp.,Kintaro,"1039 33RD ST, NW, 
WASHINGTON, DC 20007","SMD 
2E05",C,Restaurant,,APR 2013,201304,FY2013,T & K  CORP.,MIKI YOSHIMOTO
