"TRADE.NAME","OpenCat","street","lon","lat"
"Noodles on 11","2008-9","1100 NEW YORK AVE NW",-77.0276176806966,38.9002980806966
"Capital City Brewing 
Company","2007 or earlier","1100 NEW YORK AVE NW UNIT A",-77.0276174222384,38.9002978222384
"Haad Thai Restaurant","2007 or earlier","1100 NEW YORK AVE NW",-77.0276174523596,38.9002978523596
"BiBiana","2008-9","1100 NEW YORK AVE NW",-77.0276171899173,38.9002975899173
"Station 4","2010-11","1101 4TH ST SW",-77.0180472289684,38.8776688289684
"Teddy","2012-13","1200 19TH ST NW",-77.043848611508,38.906100411508
"Elephant & Castle Pub 
Restaurant","2007 or earlier","1201 PENNSYLVANIA AVE NW",-77.0287258750948,38.8957403750948
"& Pizza","2014-15","1215 CONNECTICUT AVE NW",-77.0410912513841,38.9064154513842
"Heist","2012-13","1216 18TH ST NW",-77.0418927237256,38.9063487237256
"Shake Shack","2010-11","1216 18TH ST NW",-77.041892346171,38.906348346171
"The Pug","2007 or earlier","1234 H ST NE",-76.9890319302742,38.9003886302742
"Alero Restaurant and 
Lounge","2007 or earlier","1301 U ST NW",-77.0304236794335,38.9172899794335
"Red Apron at Union Market","2012-13","1309 5TH ST NE",-76.9973801548667,38.9086083548667
"Bidwell‐PORTABLE BAR","2012-13","1309 5TH ST NE",-76.9973801131952,38.9086083131952
"The District Fishwife","2012-13","1309 5TH ST NE",-76.9973799661513,38.9086081661513
"Buffalo & Bergen","2014-15","1309 5TH ST NE",-76.997379852999,38.908608052999
"Rappahannock Oyster Bar","2012-13","1309 5TH ST NE",-76.9973800881913,38.9086082881913
"The Codmother","2010-11","1334 U ST NW UNIT A",-77.0309336349299,38.9168233349299
"Kabin","2012-13","1337 CONNECTICUT AVE NW",-77.0421166115626,38.9083217115626
"Lou's Bar & Grill","2010-11","1400 IRVING ST NW",-77.0335766533921,38.9284987533921
"Acre 121","2010-11","1400 IRVING ST NW",-77.033577304253,38.928499404253
"Beefsteak","2014-15","1528 CONNECTICUT AVE NW",-77.0444361937489,38.9107722937489
"The Bottom Line","2007 or earlier","1716 I ST NW UNIT A",-77.0402626999441,38.9010547999441
"Mackey's","2007 or earlier","1823 L ST NW",-77.0426704146029,38.9040178146029
"Second State","2014-15","1831 M ST NW",-77.0429851542336,38.9058509542336
"Cloud Restaurant & Lounge","2012-13","1919 9TH ST NW",-77.023701149936,38.916364749936
"Vidalia","2007 or earlier","1990 M ST NW",-77.0445715393068,38.9054353393068
"The Big Stick","2014-15","20 M ST SE",-77.007926436395,38.876779236395
"LIV Nightclub","2007 or earlier","2001 11TH ST NW UNIT B",-77.0267576857463,38.9171906857463
"Lost Society","2010-11","2001 14TH ST NW",-77.0315611547077,38.9171776547077
"Union Pub","2007 or earlier","201 MASSACHUSETTS AVE NE",-77.0030411820728,38.8945887820729
"Bangkok Thai Dining","2008-9","2016 P ST NW",-77.0456105364669,38.9094796364669
"Obelisk","2010-11","2029 P ST NW",-77.0462275612152,38.9098773612152
"SOI 38","2014-15","2101 L ST NW",-77.047081798697,38.904105298697
"Bobby's Burger Palace","2010-11","2121 K ST NW",-77.0471804488022,38.9029066488022
"Arcuri","2012-13","2400 WISCONSIN AVE NW",-77.072305710082,38.921507510082
"100 Montaditos","2012-13","300 TINGEY ST SE",-77.0012695645914,38.8752112645913
"Nando's Peri Peri","2012-13","300 TINGEY ST SE",-77.0012695223557,38.8752112223557
"Farmers Fishers Bakers","2012-13","3000 K ST NW",-77.0599100990911,38.9019793990911
"Tony & Joe's Seafood Place","2007 or earlier","3000 K ST NW",-77.0599108347698,38.9019801347698
"Osteria Morini/Nicoletta","2014-15","301 WATER ST SE",-77.0015544208204,38.8734524208204
"Agua 301","2014-15","301 WATER ST SE",-77.0015547211113,38.8734527211113
"Orange Anchor","2014-15","3050 K ST NW",-77.060741311078,38.902080111078
"Nick's Riverside Grille","2007 or earlier","3050 K ST NW UNIT A",-77.060741626888,38.902080426888
"Al Dente","2012-13","3201 NEW MEXICO AVE NW",-77.0849163566937,38.9330442566937
"Chef Geoff's","2007 or earlier","3201 NEW MEXICO AVE NW",-77.0849166879117,38.9330445879117
"Cafe Milano","2007 or earlier","3251 PROSPECT ST NW",-77.0640795109706,38.9061897109706
"Chinese Disco","2014-15","3251 PROSPECT ST NW UNIT CS1",-77.0640799482135,38.9061901482136
