"","X","license","name","address","lon","lat","quadrant","subhood","year","firstYr"
"1",1,"15ABRA072256","maggiano's","5333 WISCONSIN AVE NW, Washington DC",-77.0845819,38.9597598,"NW","Friendship Heights",2008,2008
"2",2,"15ABRA072256","maggiano's","5333 WISCONSIN AVE NW, Washington DC",-77.0845819,38.9597598,"NW","Friendship Heights",2009,2008
"3",3,"15ABRA072256","maggiano's","5333 WISCONSIN AVE NW, Washington DC",-77.0845819,38.9597598,"NW","Friendship Heights",2010,2008
"4",4,"15ABRA072256","maggiano's","5333 WISCONSIN AVE NW, Washington DC",-77.0845819,38.9597598,"NW","Friendship Heights",2011,2008
"5",5,"15ABRA072256","maggiano's","5333 WISCONSIN AVE NW, Washington DC",-77.0845819,38.9597598,"NW","Friendship Heights",2012,2008
"6",6,"15ABRA072256","maggiano's","5333 WISCONSIN AVE NW, Washington DC",-77.0845819,38.9597598,"NW","Friendship Heights",2013,2008
"7",7,"15ABRA072256","maggiano's","5333 WISCONSIN AVE NW, Washington DC",-77.0845819,38.9597598,"NW","Friendship Heights",2014,2008
"8",8,"15ABRA072256","maggiano's","5333 WISCONSIN AVE NW, Washington DC",-77.0845819,38.9597598,"NW","Friendship Heights",2015,2008
"9",9,"15ABRA072256","maggiano's","5333 WISCONSIN AVE NW, Washington DC",-77.0845819,38.9597598,"NW","Friendship Heights",2016,2008
"10",10,"ABRA_079080","commonwealth","1400 IRVING ST NW, Washington DC",-77.0335765,38.9284986,"NW","Columbia Heights",2008,2008
"11",11,"ABRA_079080","commonwealth","1400 IRVING ST NW, Washington DC",-77.0335765,38.9284986,"NW","Columbia Heights",2009,2008
"12",12,"ABRA000168","trio rest & fox & hounds lounge","1537 17TH ST NW, Washington DC",-77.0382096,38.9108682,"NW","Dupont Circle",2008,2008
"13",13,"ABRA000168","trio rest & fox & hounds lounge","1537 17TH ST NW, Washington DC",-77.0382096,38.9108682,"NW","Dupont Circle",2009,2008
"14",14,"ABRA000168","trio rest & fox & hounds lounge","1537 17TH ST NW, Washington DC",-77.0382096,38.9108682,"NW","Dupont Circle",2010,2008
"15",15,"ABRA000168","trio rest & fox & hounds lounge","1537 17TH ST NW, Washington DC",-77.0382096,38.9108682,"NW","Dupont Circle",2011,2008
"16",16,"ABRA000168","trio rest & fox & hounds lounge","1537 17TH ST NW, Washington DC",-77.0382096,38.9108682,"NW","Dupont Circle",2012,2008
"17",17,"ABRA000168","trio rest & fox & hounds lounge","1537 17TH ST NW, Washington DC",-77.0382096,38.9108682,"NW","Dupont Circle",2013,2008
"18",18,"ABRA000168","trio rest & fox & hounds lounge","1537 17TH ST NW, Washington DC",-77.0382096,38.9108682,"NW","Dupont Circle",2014,2008
"19",19,"ABRA000168","trio rest & fox & hounds lounge","1537 17TH ST NW, Washington DC",-77.0382096,38.9108682,"NW","Dupont Circle",2015,2008
"20",20,"ABRA000168","trio rest & fox & hounds lounge","1537 17TH ST NW, Washington DC",-77.0382096,38.9108682,"NW","Dupont Circle",2016,2008
"21",21,"ABRA000219","additi restaurant","3299 M ST NW, Washington DC",-77.065957,38.90531,"NW","West Village Georgetown",2008,2008
"22",22,"ABRA000219","additi restaurant","3299 M ST NW, Washington DC",-77.065957,38.90531,"NW","West Village Georgetown",2009,2008
"23",23,"ABRA000219","additi restaurant","3299 M ST NW, Washington DC",-77.065957,38.90531,"NW","West Village Georgetown",2010,2008
"24",24,"ABRA000259","mr. henry's","601 PENNSYLVANIA AVE SE, Washington DC",-76.9982665,38.8852078,"SE","Capitol Hill",2008,2008
"25",25,"ABRA000259","mr. henry's","601 PENNSYLVANIA AVE SE, Washington DC",-76.9982665,38.8852078,"SE","Capitol Hill",2009,2008
"26",26,"ABRA000259","mr. henry's","601 PENNSYLVANIA AVE SE, Washington DC",-76.9982665,38.8852078,"SE","Capitol Hill",2010,2008
"27",27,"ABRA000259","mr. henry's","601 PENNSYLVANIA AVE SE, Washington DC",-76.9982665,38.8852078,"SE","Capitol Hill",2011,2008
"28",28,"ABRA000259","mr. henry's","601 PENNSYLVANIA AVE SE, Washington DC",-76.9982665,38.8852078,"SE","Capitol Hill",2012,2008
"29",29,"ABRA000259","mr. henry's","601 PENNSYLVANIA AVE SE, Washington DC",-76.9982665,38.8852078,"SE","Capitol Hill",2013,2008
"30",30,"ABRA000259","mr. henry's","601 PENNSYLVANIA AVE SE, Washington DC",-76.9982665,38.8852078,"SE","Capitol Hill",2014,2008
"31",31,"ABRA000259","mr. henry's","601 PENNSYLVANIA AVE SE, Washington DC",-76.9982665,38.8852078,"SE","Capitol Hill",2015,2008
